Year,Serie,Age,Sex,Value
2010,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,604.3
2011,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,578.1
2012,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,542.9
2013,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,523.2
2014,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,516.1
2015,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,532.6
2016,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,538.2
2017,Residuos urbanos recogidos per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,535.1
2014,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,44.1
2015,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,42.3
2016,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,42.1
2017,Proporción de residuos urbanos incinerados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,42.6
2014,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,19.5
2015,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,19.7
2016,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,23.1
2017,Proporción de residuos urbanos vertidos en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,22.2
2014,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,36.5
2015,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,38.0
2016,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,34.8
2017,Proporción de residuos urbanos reciclados en relación al total de residuos urbanos generados y tratados,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,35.2
