Year,Serie,Age,Sex,Value
2010,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,11.3
2011,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,14.5
2012,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,17.2
2013,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,18.3
2014,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,18.5
2015,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,15.0
2016,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,13.5
2017,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,12.2
2018,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,8.5
2019,Tasa de desempleo de hombres,Todas las edades o no desagregado por edad,Hombre,9.0
2010,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,13.0
2011,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,12.9
2012,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,16.0
2013,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,19.5
2014,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,17.7
2015,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,18.7
2016,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,14.9
2017,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,13.0
2018,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,11.3
2019,Tasa de desempleo de mujeres,Todas las edades o no desagregado por edad,Mujer,10.1
