Year,Serie,RefArea,Value
2010,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,26.10
2011,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,26.73
2012,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,27.24
2013,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,27.31
2014,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,29.15
2015,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,28.65
2016,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,27.91
2017,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,26.58
2018,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,26.09
2019,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,25.29
2020,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,26.42
2021,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",España,27.65
2010,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,22.50
2011,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,23.00
2012,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,24.10
2013,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,25.30
2014,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,27.40
2015,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,20.40
2016,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,24.60
2017,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,20.50
2018,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,25.00
2019,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,19.40
2020,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,23.73
2021,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral nacional de pobreza",Cantabria,21.58
2010,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,25.24
2011,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,25.85
2012,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,26.42
2013,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,26.68
2014,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,28.36
2015,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,27.37
2016,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,26.83
2017,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,26.11
2018,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,25.23
2019,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,24.45
2020,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,25.35
2021,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",España,26.88
2010,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.50
2011,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.10
2012,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.20
2013,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.90
2014,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,26.50
2015,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,21.50
2016,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,24.30
2017,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,20.40
2018,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,24.50
2019,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.12
2020,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,23.73
2021,"Proporción de personas en riesgo de pobreza o exclusión social; indicador AROPE, considerando el umbral autonómico de pobreza",Cantabria,22.78
2010,Proporción de personas viviendo en hogares con carencia material severa,España,4.91
2011,Proporción de personas viviendo en hogares con carencia material severa,España,4.54
2012,Proporción de personas viviendo en hogares con carencia material severa,España,5.84
2013,Proporción de personas viviendo en hogares con carencia material severa,España,6.19
2014,Proporción de personas viviendo en hogares con carencia material severa,España,7.06
2015,Proporción de personas viviendo en hogares con carencia material severa,España,6.44
2016,Proporción de personas viviendo en hogares con carencia material severa,España,5.79
2017,Proporción de personas viviendo en hogares con carencia material severa,España,5.14
2018,Proporción de personas viviendo en hogares con carencia material severa,España,5.40
2019,Proporción de personas viviendo en hogares con carencia material severa,España,4.70
2020,Proporción de personas viviendo en hogares con carencia material severa,España,6.95
2021,Proporción de personas viviendo en hogares con carencia material severa,España,7.32
2010,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,1.50
2011,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,1.50
2012,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,2.30
2013,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,3.90
2014,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,3.50
2015,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,3.50
2016,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,7.50
2017,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,2.20
2018,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,3.60
2019,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,0.90
2020,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,4.40
2021,Proporción de personas viviendo en hogares con carencia material severa,Cantabria,5.73
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.82
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,13.35
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,14.28
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,15.68
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,17.12
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,15.44
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,14.85
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,12.79
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.65
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,10.84
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,9.92
2021,Proporción de personas viviendo en hogares con baja intensidad de trabajo,España,11.69
2010,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,8.90
2011,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,13.80
2012,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.90
2013,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.10
2014,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,18.40
2015,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,15.50
2016,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,16.00
2017,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,9.30
2018,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,11.20
2019,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,14.13
2020,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,7.79
2021,Proporción de personas viviendo en hogares con baja intensidad de trabajo,Cantabria,10.97
