Year,Serie,RefArea,Value
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,España,6.00
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2015,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2016,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2017,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2018,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2019,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2020,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2021,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
2022,Grado en que el marco jurídico garantiza la igualdad de derechos de la mujer a la propiedad o el control de tierras,Cantabria,6.00
