Year,Serie,Age,Sex,Value
2010,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,3.8
2011,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.2
2012,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.8
2013,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-1.2
2014,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.6
2015,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.0
2016,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.1
2017,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.3
2018,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.5
2019,Tasa de crecimiento anual del PIB real por persona empleada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-0.0
2010,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,5.1
2011,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-0.2
2012,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.8
2013,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-0.7
2014,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.6
2015,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.1
2016,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.3
2017,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.9
2018,Tasa de crecimiento anual del PIB real por hora trabajada,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.1
