Year,Serie,RefArea,Value
2010,Tasa neta de escolarización a los 5 años,España,98.50
2011,Tasa neta de escolarización a los 5 años,España,98.10
2012,Tasa neta de escolarización a los 5 años,España,97.70
2013,Tasa neta de escolarización a los 5 años,España,97.60
2014,Tasa neta de escolarización a los 5 años,España,97.20
2015,Tasa neta de escolarización a los 5 años,España,98.00
2016,Tasa neta de escolarización a los 5 años,España,98.10
2017,Tasa neta de escolarización a los 5 años,España,95.80
2018,Tasa neta de escolarización a los 5 años,España,98.70
2019,Tasa neta de escolarización a los 5 años,España,98.90
2020,Tasa neta de escolarización a los 5 años,España,98.90
2021,Tasa neta de escolarización a los 5 años,España,98.30
2022,Tasa neta de escolarización a los 5 años,España,98.60
2022,Tasa neta de escolarización a los 5 años,España,98.60
2023,Tasa neta de escolarización a los 5 años,España,98.50
2010,Tasa neta de escolarización a los 5 años,Cantabria,96.90
2011,Tasa neta de escolarización a los 5 años,Cantabria,97.10
2012,Tasa neta de escolarización a los 5 años,Cantabria,96.80
2013,Tasa neta de escolarización a los 5 años,Cantabria,96.50
2014,Tasa neta de escolarización a los 5 años,Cantabria,96.30
2015,Tasa neta de escolarización a los 5 años,Cantabria,96.60
2016,Tasa neta de escolarización a los 5 años,Cantabria,96.80
2017,Tasa neta de escolarización a los 5 años,Cantabria,97.70
2018,Tasa neta de escolarización a los 5 años,Cantabria,97.50
2019,Tasa neta de escolarización a los 5 años,Cantabria,99.20
2020,Tasa neta de escolarización a los 5 años,Cantabria,98.60
2021,Tasa neta de escolarización a los 5 años,Cantabria,98.50
2022,Tasa neta de escolarización a los 5 años,Cantabria,98.00
2022,Tasa neta de escolarización a los 5 años,Cantabria,98.40
2023,Tasa neta de escolarización a los 5 años,Cantabria,98.60
2010,Tasa neta de escolarización de los niños de 5 años,España,97.90
2011,Tasa neta de escolarización de los niños de 5 años,España,97.50
2012,Tasa neta de escolarización de los niños de 5 años,España,97.50
2013,Tasa neta de escolarización de los niños de 5 años,España,97.30
2014,Tasa neta de escolarización de los niños de 5 años,España,97.10
2015,Tasa neta de escolarización de los niños de 5 años,España,97.80
2016,Tasa neta de escolarización de los niños de 5 años,España,98.00
2017,Tasa neta de escolarización de los niños de 5 años,España,95.70
2018,Tasa neta de escolarización de los niños de 5 años,España,98.60
2019,Tasa neta de escolarización de los niños de 5 años,España,98.80
2020,Tasa neta de escolarización de los niños de 5 años,España,98.90
2021,Tasa neta de escolarización de los niños de 5 años,España,98.40
2022,Tasa neta de escolarización de los niños de 5 años,España,98.60
2023,Tasa neta de escolarización de los niños de 5 años,España,98.80
2023,Tasa neta de escolarización de los niños de 5 años,España,98.80
2010,Tasa neta de escolarización de los niños de 5 años,Cantabria,97.60
2011,Tasa neta de escolarización de los niños de 5 años,Cantabria,97.40
2012,Tasa neta de escolarización de los niños de 5 años,Cantabria,94.60
2013,Tasa neta de escolarización de los niños de 5 años,Cantabria,95.30
2014,Tasa neta de escolarización de los niños de 5 años,Cantabria,94.70
2015,Tasa neta de escolarización de los niños de 5 años,Cantabria,95.00
2016,Tasa neta de escolarización de los niños de 5 años,Cantabria,96.50
2017,Tasa neta de escolarización de los niños de 5 años,Cantabria,96.30
2018,Tasa neta de escolarización de los niños de 5 años,Cantabria,97.40
2019,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.80
2020,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.90
2021,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.20
2022,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.30
2023,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.40
2023,Tasa neta de escolarización de los niños de 5 años,Cantabria,98.90
2010,Tasa neta de escolarización de las niñas de 5 años,España,99.20
2011,Tasa neta de escolarización de las niñas de 5 años,España,98.80
2012,Tasa neta de escolarización de las niñas de 5 años,España,98.00
2013,Tasa neta de escolarización de las niñas de 5 años,España,97.90
2014,Tasa neta de escolarización de las niñas de 5 años,España,97.30
2015,Tasa neta de escolarización de las niñas de 5 años,España,98.10
2016,Tasa neta de escolarización de las niñas de 5 años,España,98.20
2017,Tasa neta de escolarización de las niñas de 5 años,España,95.90
2018,Tasa neta de escolarización de las niñas de 5 años,España,98.80
2019,Tasa neta de escolarización de las niñas de 5 años,España,98.90
2020,Tasa neta de escolarización de las niñas de 5 años,España,98.90
2021,Tasa neta de escolarización de las niñas de 5 años,España,98.30
2022,Tasa neta de escolarización de las niñas de 5 años,España,98.60
2010,Tasa neta de escolarización de las niñas de 5 años,Cantabria,96.10
2011,Tasa neta de escolarización de las niñas de 5 años,Cantabria,96.80
2012,Tasa neta de escolarización de las niñas de 5 años,Cantabria,99.30
2013,Tasa neta de escolarización de las niñas de 5 años,Cantabria,97.80
2014,Tasa neta de escolarización de las niñas de 5 años,Cantabria,98.20
2015,Tasa neta de escolarización de las niñas de 5 años,Cantabria,98.30
2016,Tasa neta de escolarización de las niñas de 5 años,Cantabria,97.10
2017,Tasa neta de escolarización de las niñas de 5 años,Cantabria,99.40
2018,Tasa neta de escolarización de las niñas de 5 años,Cantabria,97.60
2019,Tasa neta de escolarización de las niñas de 5 años,Cantabria,99.60
2020,Tasa neta de escolarización de las niñas de 5 años,Cantabria,98.40
2021,Tasa neta de escolarización de las niñas de 5 años,Cantabria,98.80
2022,Tasa neta de escolarización de las niñas de 5 años,Cantabria,97.60
