Year,Serie,RefArea,Value
2013,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.60
2014,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.56
2015,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.57
2016,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.58
2017,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.61
2018,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.62
2019,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.65
2020,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.71
2021,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.74
2022,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.75
2023,Volumen de remesas enviadas al extranjero en proporción al PIB,España,0.74
2013,Volumen de remesas enviadas al extranjero,España,6106.00
2014,Volumen de remesas enviadas al extranjero,España,5833.00
2015,Volumen de remesas enviadas al extranjero,España,6144.00
2016,Volumen de remesas enviadas al extranjero,España,6519.00
2017,Volumen de remesas enviadas al extranjero,España,7086.00
2018,Volumen de remesas enviadas al extranjero,España,7503.00
2019,Volumen de remesas enviadas al extranjero,España,8132.00
2020,Volumen de remesas enviadas al extranjero,España,7905.00
2021,Volumen de remesas enviadas al extranjero,España,9047.00
2022,Volumen de remesas enviadas al extranjero,España,10058.00
2023,Volumen de remesas enviadas al extranjero,España,10764.00
