Year,Serie,RefArea,Value
2010,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2011,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2012,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2013,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2014,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2015,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2016,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2017,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2018,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2019,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2020,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2021,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2022,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2023,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,1.00
2024,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,España,0.00
2010,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2011,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2012,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2013,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2014,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2015,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2016,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2017,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2018,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2019,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2020,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2021,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2022,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2023,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
2024,Se dispone de un plan estadístico autonómico plenamente financiado y en fase de aplicación,Cantabria,1.00
