Year,Serie,RefArea,Value
2010,Tasa de mortalidad materna,España,4.12
2011,Tasa de mortalidad materna,España,3.00
2012,Tasa de mortalidad materna,España,2.20
2013,Tasa de mortalidad materna,España,4.20
2014,Tasa de mortalidad materna,España,2.10
2015,Tasa de mortalidad materna,España,3.57
2016,Tasa de mortalidad materna,España,3.65
2017,Tasa de mortalidad materna,España,3.31
2018,Tasa de mortalidad materna,España,1.88
2019,Tasa de mortalidad materna,España,1.66
2010,Tasa de mortalidad materna,Cantabria,17.94
2011,Tasa de mortalidad materna,Cantabria,0.00
2012,Tasa de mortalidad materna,Cantabria,0.00
2013,Tasa de mortalidad materna,Cantabria,0.00
2014,Tasa de mortalidad materna,Cantabria,0.00
2015,Tasa de mortalidad materna,Cantabria,0.00
2016,Tasa de mortalidad materna,Cantabria,0.00
2017,Tasa de mortalidad materna,Cantabria,24.28
2018,Tasa de mortalidad materna,Cantabria,0.00
2019,Tasa de mortalidad materna,ES14,0.00
