Year,Serie,Age,Sex,Value
2010,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-0.7
2011,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-2.7
2012,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-2.4
2013,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,-2.7
2014,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.8
2015,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,2.8
2016,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,3.0
2017,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,2.8
2018,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,2.8
2019,Tasa de crecimiento anual del PIB real per cápita,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,1.4
