Year,Serie,Age,Sex,Value
2010,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,0.0
2011,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,26.5
2012,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,25.1
2013,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,25.8
2014,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,25.2
2015,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,28.9
2016,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,40.4
2017,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,33.5
2018,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,23.4
2019,Proporción de mujeres en cargos directivos,Todas las edades o no desagregado por edad,Mujer,26.4
2010,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,0.0
2011,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,23.2
2012,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,24.9
2013,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,22.5
2014,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,27.9
2015,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,31.6
2016,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,30.6
2017,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,25.3
2018,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,23.9
2019,Proporción de mujeres en alta dirección,Todas las edades o no desagregado por edad,Mujer,20.9
