Year,Serie,Age,Sex,Value
2010,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,298.0
2011,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,291.4
2012,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,286.9
2013,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,268.3
2014,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,277.9
2015,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,282.2
2016,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,272.8
2017,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,281.6
2018,Tasa de mortalidad atribuida a las enfermedades cardiovasculares,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,273.7
2010,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,30.7
2011,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,31.3
2012,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,31.3
2013,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,32.5
2014,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,32.1
2015,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,29.6
2016,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,27.2
2017,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,35.3
2018,Tasa de mortalidad atribuida a las enfermedades respiratorias crónicas,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,32.7
2010,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,7.6
2011,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,5.7
2012,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,8.8
2013,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,7.3
2014,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,9.2
2015,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,10.1
2016,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,6.9
2017,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,12.7
2018,Tasa de mortalidad atribuida a la diabetes,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,17.7
2010,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,263.6
2011,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,267.9
2012,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,281.7
2013,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,280.0
2014,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,285.2
2015,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,290.3
2016,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,303.9
2017,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,281.1
2018,Tasa de mortalidad atribuida al cáncer,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,286.6
