Year,Serie,Age,Sex,Value
2015,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 74 años,Ambos sexos o no desagregado por sexo,62.4
2016,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 74 años,Ambos sexos o no desagregado por sexo,63.0
2017,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 74 años,Ambos sexos o no desagregado por sexo,66.2
2019,Proporción de personas entre 16 y 74 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 74 años,Ambos sexos o no desagregado por sexo,70.8
2015,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 24 años,Ambos sexos o no desagregado por sexo,96.5
2016,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 24 años,Ambos sexos o no desagregado por sexo,100.0
2017,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 24 años,Ambos sexos o no desagregado por sexo,96.9
2019,Proporción de personas entre 16 y 24 años que han utilizado alguna habilidad informática en los últimos 12 meses,16 a 24 años,Ambos sexos o no desagregado por sexo,94.5
2015,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,Y25T74,Ambos sexos o no desagregado por sexo,62.4
2016,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,Y25T74,Ambos sexos o no desagregado por sexo,63.0
2017,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,Y25T74,Ambos sexos o no desagregado por sexo,66.2
2019,Proporción de personas entre 25 y 74 años  que han utilizado alguna habilidad informática en los últimos 12 meses,Y25T74,Ambos sexos o no desagregado por sexo,70.8
