Year,Serie,Age,Sex,Value
2011,Índice de paridad entre mujeres y hombres de la población entre 18 y 64 años que ha realizado actividades educativas en los últimos 12 meses,Y18T64,Ambos sexos o no desagregado por sexo,83.1
2016,Índice de paridad entre mujeres y hombres de la población entre 18 y 64 años que ha realizado actividades educativas en los últimos 12 meses,Y18T64,Ambos sexos o no desagregado por sexo,93.9
2016,Índice de paridad entre personas con limitaciones por problemas de salud y personas nada limitadas de la población entre 18 y 64 años que ha realizado actividades educativas en los últimos 12 meses,Y18T64,Ambos sexos o no desagregado por sexo,88.6
2010,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,84.1
2011,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,75.2
2012,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,77.2
2013,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,85.5
2014,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,98.7
2015,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,92.1
2016,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,80.5
2017,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,74.2
2018,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,77.8
2019,Índice de paridad entre municipios de 10.000 o menos habitantes y municipios de más de 10.000 habitantes de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,80.0
2016,Índice de paridad entre intervalo de ingresos inferior y superior de la población entre 18 y 64 años que ha realizado actividades educativas en los últimos 12 meses,Y18T64,Ambos sexos o no desagregado por sexo,0.0
2010,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,105.0
2011,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,108.3
2012,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,110.4
2013,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,112.2
2014,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,109.0
2015,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,104.9
2016,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,97.0
2017,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,104.4
2018,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,110.6
2019,Índice de paridad entre mujeres y hombres de la población entre 15 y 64 años que ha realizado estudios o formación en las últimas cuatro semanas,15 a 64 años,Ambos sexos o no desagregado por sexo,118.8
2016,Índice de paridad entre personas con limitaciones por problemas de salud y personas nada limitadas de la población entre 18 y 64 años que ha realizado actividades educativas en los últimos 12 meses,Y18T64,Ambos sexos o no desagregado por sexo,88.6
