Year,Serie,Age,Sex,Value
2010,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,22.5
2011,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,13.7
2012,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,11.9
2013,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,18.0
2014,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,9.9
2015,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,8.3
2016,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,14.1
2017,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,2.7
2018,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,8.7
2019,Proporción de personas que viven en hogares con determinadas deficiencias en la vivienda,Todas las edades o no desagregado por edad,Ambos sexos o no desagregado por sexo,0.0
